school,rank,city,alumni_count
University of Pennsylvania,1,New York City,3050
University of Pennsylvania,2,Philadelphia,1393
University of Pennsylvania,3,Boston,328
University of Pennsylvania,4,San Francisco,309
University of Pennsylvania,5,Washington,302
University of Pennsylvania,6,Los Angeles,218
University of Pennsylvania,7,Chicago,183
University of Pennsylvania,8,Seattle,132
University of Pennsylvania,9,Cambridge,95
University of Pennsylvania,10,London,70
University of Illinois Urbana-Champaign,1,Illinois,3153
University of Illinois Urbana-Champaign,2,California,219
University of Illinois Urbana-Champaign,3,New York,135
University of Illinois Urbana-Champaign,4,Texas,95
University of Illinois Urbana-Champaign,5,Washington,74
University of Illinois Urbana-Champaign,6,Wisconsin,80
University of Illinois Urbana-Champaign,7,Indiana,57
University of Illinois Urbana-Champaign,8,Missouri,56
University of Illinois Urbana-Champaign,9,Massachusetts,54
University of Illinois Urbana-Champaign,10,Michigan,42
